Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53152636,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""""","=""""",3,3.68,Del Rey,Hardcover,320,2020,2020,2022/06/12,2022/06/09,,,read,not my typical style of book so maybe just not for me but im pretty sure that the author is the type of person who thinks that the 'dark betty' plot on riverdale makes sense and is good,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",3,3.75,Alfred A. Knopf,Hardcover,303,2021,2021,2022/06/05,2021/05/24,,,read,it was fine ,,,1,0
22522808,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,"Gaiman, Neil",,"=""0062330268""","=""9780062330260""",4,3.92,William Morrow,Hardcover,310,2015,2015,2022/06/05,2022/06/02,,,read,stories were fine but not deserving of the title? poor choice and intro explanation imo. I like ng's writing style but as a collection this was nothing special,,,1,0
8554005,Sing You Home,Jodi Picoult,"Picoult, Jodi",,"=""1439102724""","=""9781439102725""",2,3.81,Atria Books,Hardcover,466,2011,2011,2022/06/02,2021/05/08,,,read,the dialogue in this was like a soap opera that was trying to win an emmy for best political drama... but I did finish the whole thing... I thought of much more fun and consequential twists than jodi did for this one... stars are for being set in rhode island and the characters fighting at stop and shop,,,1,1
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.30,Orbit,Paperback,592,2011,2011,,2022/05/29,to-read,to-read (#59),to-read,,,,0,0
472331,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",5,4.38,DC Comics,Paperback,416,2005,1987,,2020/12/17,,,read,deserving of all awards!! looking forward to tv show now with more background. ,,,2,1
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",4,4.27,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,2022/05/22,2022/05/22,,,read,haHA so fun im glad i hadnt read this before a perfect beach read,,,1,0
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",4,4.01,,Paperback,183,2004,1968,2022/05/21,2021/08/23,,,read,didnt realize this was a kids book whoops but it was entertaining,,,1,0
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""0385542364""","=""9780385542364""",4,4.06,Doubleday,Hardcover,320,2016,2016,2022/05/15,2022/05/14,,,read,interesting take on UR history and really vivid storytelling! agree with other commenters that the writing style sometimes is jumpy but I definitely want to read more of his books,,,1,0
7726420,How to Live Safely in a Science Fictional Universe,Charles Yu,"Yu, Charles",,"=""0307379205""","=""9780307379207""",0,3.45,Pantheon,Hardcover,233,2010,2010,,2022/05/14,to-read,to-read (#58),to-read,,,,0,0
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""""","=""""",5,3.98,Pantheon,Hardcover,288,2020,2020,2022/05/14,2022/05/12,,,read,so funny so sad so unique ! really enjoyed,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",3,4.17,Bantam,Hardcover,244,2004,1951,2022/05/12,2021/10/31,,,read,do I need to read the whole trilogy for this to become amazing? I felt like the whole thing was very tell-not-show,,,1,0
36385465,Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,"Poe, Edgar Allan",,"=""""","=""""",4,4.39,CDED,Kindle Edition,969,2017,,,2020/12/17,,,read,,,,1,1
154611,The Animal-Lover's Book of Beastly Murder,Patricia Highsmith,"Highsmith, Patricia",,"=""0393323668""","=""9780393323665""",0,3.78,W. W. Norton & Company,Paperback,240,2002,1975,,2021/11/05,,,read,,,,1,0
327560,Little Tales of Misogyny,Patricia Highsmith,"Highsmith, Patricia",,"=""0393323374""","=""9780393323375""",0,3.54,W. W. Norton  Company,Paperback,128,2002,1975,,2022/02/06,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.66,Tor Books,Hardcover,1007,2010,2010,,2022/03/22,to-read,to-read (#57),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",5,4.27,Knopf,Hardcover,256,2021,2021,2022/05/08,2021/11/28,,,read,not my typical read but very painful/poignant on mothers day especially!!,,,1,0
77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553560735""","=""9780553560732""",3,3.86,Spectra Books,Mass Market Paperback,572,1993,1992,2022/05/07,2022/03/22,,,read,some decent scifi themes but mostly humans taking their racial stereotypes to mars,,,1,0
29059,Choke,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385720920""","=""9780385720922""",0,3.71,Anchor Books,Paperback,293,2002,2001,,2022/05/05,,,read,,,,1,0
77504,"Blue Mars (Mars Trilogy, #3)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553573357""","=""9780553573350""",0,3.95,Bantam Doubleday Dell Publishing Group Ltd.,Mass Market Paperback,768,1997,1996,,2022/04/24,to-read,to-read (#56),to-read,,,,0,0
77505,"Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553572393""","=""9780553572391""",0,3.95,Spectra Books,Mass Market Paperback,624,1993,1993,,2022/04/24,to-read,to-read (#55),to-read,,,,0,0
44439416,"Chapterhouse: Dune (Dune, #6)",Frank Herbert,"Herbert, Frank",,"=""0593098277""","=""9780593098271""",4,3.90,Ace,Paperback,624,2019,1985,2022/04/24,2022/03/13,,,read,"plot arcs with a beginning middle and end? never heard of her <3<br/><br/>overall, a very good series of books and I really liked the philosophical questions they brought up about the nature of mankind. that said, I wouldn't necessarily recommend them to everyone... I think I would enjoy a second read of all of them but there is so much more out there to read",,,1,0
6149,Beloved,Toni Morrison,"Morrison, Toni",,"=""""","=""9781400033416""",4,3.95,Vintage,Paperback,324,2004,1987,2022/04/18,2021/07/06,,,read,"I feel semi-unable to review because I feel like I missed something. I want to read it again but I did the first ~100 pages a few times and didn't feel like it was becoming clearer? there were some scenes with such beautiful writing and really potent metaphor / emotional storytelling, but I could not really tell you the plot of the story and I really struggled to follow what was going on. I enjoyed the read but I know this is assigned to high schoolers so I really must have been misinterpreting things as I read it.",,,1,0
